"Search Autocomplete","Search Autocomplete"
"Minimum of characters to start search","Minimum of characters to start search"
"Search by attributes","Search by attributes"
"Search by tags","Search by tags"
"Number of results","Number of results"
"Show out of stock products","Show out of stock products"
"Search result heading","Search result heading"
"Show product thumbnail image","Show product thumbnail image"
"Width of thumbnail image","Width of thumbnail image"
"Show product description","Show product description"
"Limit characters in product description","Limit characters in product description"
"Searches after the minimum characters has been entered","Searches after the minimum characters has been entered"
"{{keyword}} will be replaced by the keyword which is searched by customer","{{keyword}} will be replaced by the keyword which is searched by customer"
"No results for","No results for"
